date,total_trades,total_volume,mean_closedPnL,median_closedPnL,win_rate,avg_leverage,long_trades,short_trades,long_short_ratio,Classification,sentiment_score
2024-10-07,56,56,213.88812333928573,59.449220999999994,0.6785714285714286,1.0,10,46,0.21739130434782608,,
2024-10-08,88,88,0.0,0.0,0.0,1.0,87,1,87.0,,
2024-10-09,3,3,-73.24321966666666,-37.697891,0.0,1.0,1,2,0.5,,
2024-10-10,16,16,0.0,0.0,0.0,1.0,16,0,,,
2024-10-11,173,173,5.728984589595376,0.0,0.2947976878612717,1.0,48,125,0.384,,
2024-10-12,1596,1596,24.640206911654136,0.787791,0.5870927318295739,1.0,530,1066,0.4971857410881801,,
2024-11-01,21,21,-7.813785761904761,0.0,0.23809523809523808,1.0,13,8,1.625,,
2024-11-02,34,34,28.924799294117648,0.0,0.20588235294117646,1.0,23,11,2.090909090909091,,
2024-11-03,42,42,85.43284511904761,18.72521,0.9285714285714286,1.0,12,30,0.4,,
2024-11-04,16,16,24.35894775,0.0,0.125,1.0,14,2,7.0,,
2024-11-05,9,9,27.956082444444444,6.001646,1.0,1.0,0,9,0.0,,
2024-11-06,123,123,35.12708789430894,0.0,0.13821138211382114,1.0,114,9,12.666666666666666,,
2024-11-07,19,19,98.77958326315789,0.0,0.47368421052631576,1.0,10,9,1.1111111111111112,,
2024-11-08,24,24,35.32402583333334,0.0,0.16666666666666666,1.0,16,8,2.0,,
2024-11-09,1,1,0.0,0.0,0.0,1.0,0,1,0.0,,
2024-11-10,26,26,341.74336450000004,232.8029795,0.6923076923076923,1.0,0,26,0.0,,
2024-11-11,373,373,18.09552545844504,0.0,0.24664879356568364,1.0,94,279,0.33691756272401435,,
2024-11-12,1221,1221,261.30348420720725,2.259711,0.7125307125307125,1.0,171,1050,0.16285714285714287,,
2024-12-01,7,7,-275.0741462857143,0.0,0.0,1.0,5,2,2.5,,
2024-12-02,16,16,57.11761168749999,-26.696452,0.375,1.0,11,5,2.2,,
2024-12-03,8,8,379.89575,16.76285,0.875,1.0,1,7,0.14285714285714285,,
2024-12-04,129,129,-4.594153790697676,4.032548,0.5503875968992248,1.0,43,86,0.5,,
2024-12-05,23,23,0.0,0.0,0.0,1.0,17,6,2.8333333333333335,,
2024-12-06,254,254,-86.16744682283463,0.0,0.08267716535433071,1.0,115,139,0.8273381294964028,,
2024-12-07,19,19,74.33235021052631,0.0,0.47368421052631576,1.0,19,0,,,
2024-12-08,48,48,17.88896875,0.0,0.125,1.0,39,9,4.333333333333333,,
2024-12-10,10,10,54.155471,20.7155355,0.7,1.0,7,3,2.3333333333333335,,
2024-12-11,171,171,20.435084175438597,0.0,0.19883040935672514,1.0,98,73,1.3424657534246576,,
2024-12-12,1932,1932,310.1199767122153,10.681751,0.6997929606625258,1.0,421,1511,0.2786234281932495,,
2025-01-01,96,96,-99.25068067708334,0.0,0.3020833333333333,1.0,68,28,2.4285714285714284,,
2025-01-02,634,634,50.946695610410096,1.763296,0.5962145110410094,1.0,352,282,1.24822695035461,,
2025-01-03,174,174,60.897177977011495,0.0,0.4482758620689655,1.0,105,69,1.5217391304347827,,
2025-01-04,192,192,-11.472199177083334,0.0,0.4583333333333333,1.0,92,100,0.92,,
2025-01-05,1230,1230,44.338885607317074,0.0,0.43089430894308944,1.0,686,544,1.2610294117647058,,
2025-02-01,361,361,24.145482235457067,0.0,0.45706371191135736,1.0,107,254,0.421259842519685,,
2025-02-02,1319,1319,123.46835452843062,0.0,0.35860500379075055,1.0,833,486,1.713991769547325,,
2025-02-03,532,532,125.77879832330827,0.0120845,0.5018796992481203,1.0,274,258,1.062015503875969,,
2025-02-04,1076,1076,187.930056633829,28.665758500000003,0.8949814126394052,1.0,128,948,0.1350210970464135,,
2025-03-01,508,508,11.867099986220472,0.0,0.27165354330708663,1.0,169,339,0.49852507374631266,,
2025-03-02,2380,2380,146.58459086932774,0.0,0.4634453781512605,1.0,1091,1289,0.8463925523661753,,
2025-03-03,1482,1482,415.9332201302294,9.005766,0.6153846153846154,1.0,1069,413,2.5883777239709445,,
2025-03-04,1748,1748,-1.353524757437071,0.0,0.2974828375286041,1.0,956,792,1.207070707070707,,
2025-04-01,371,371,6.882851665768194,0.0,0.20215633423180593,1.0,76,295,0.2576271186440678,,
2025-04-02,2512,2512,165.9541752070064,0.0,0.276671974522293,1.0,1143,1369,0.8349159970781592,,
2025-04-03,2402,2402,75.80165136761032,0.0,0.25353871773522063,1.0,1748,654,2.672782874617737,,
2025-04-04,1272,1272,-20.05949602987421,0.0,0.38757861635220126,1.0,499,773,0.6455368693402329,,
2025-05-01,239,239,13.337737920502093,0.0,0.41841004184100417,1.0,65,174,0.3735632183908046,,
2025-05-02,1297,1297,43.721075992289904,0.0,0.3215111796453354,1.0,689,608,1.1332236842105263,,
2025-05-03,1660,1660,162.24600356445782,34.0166975,0.7584337349397591,1.0,375,1285,0.2918287937743191,,
2025-05-04,360,360,99.74260475,1.814678,0.5805555555555556,1.0,138,222,0.6216216216216216,,
2025-06-01,573,573,10.583220581151831,0.0,0.15532286212914484,1.0,148,425,0.34823529411764703,,
2025-06-02,1703,1703,19.84955944392249,0.0,0.46095126247798,1.0,1163,540,2.153703703703704,,
2025-06-03,760,760,21.18569152763158,0.0,0.48026315789473684,1.0,371,389,0.9537275064267352,,
2025-06-04,1048,1048,44.89832945801527,0.0,0.31679389312977096,1.0,678,370,1.8324324324324324,,
2025-07-01,637,637,25.271942748822607,6.222816,0.7613814756671899,1.0,562,75,7.493333333333333,,
2025-07-02,1524,1524,14.730972500656167,0.0,0.2821522309711286,1.0,957,567,1.687830687830688,,
2025-07-03,2552,2552,58.86993010462382,0.231811,0.5223354231974922,1.0,1227,1325,0.9260377358490566,,
2025-07-04,2814,2814,12.269854408315563,0.0,0.23916133617626156,1.0,1415,1399,1.0114367405289493,,
2025-08-01,1039,1039,125.23300342059672,0.0,0.37151106833493747,1.0,745,294,2.5340136054421767,,
2025-08-02,575,575,1.0203534834782608,0.0,0.19130434782608696,1.0,451,124,3.6370967741935485,,
2025-08-03,529,529,46.69333338185255,4.088704,0.5689981096408318,1.0,288,241,1.1950207468879668,,
2025-08-04,943,943,37.00890222481442,0.0,0.4093319194061506,1.0,430,513,0.8382066276803118,,
2025-09-01,522,522,89.99220096168582,0.0,0.2777777777777778,1.0,201,321,0.6261682242990654,,
2025-09-02,764,764,197.05736844502616,0.0,0.4306282722513089,1.0,428,336,1.2738095238095237,,
2025-09-03,1422,1422,13.905384947257385,0.0,0.4409282700421941,1.0,947,475,1.9936842105263157,,
2025-09-04,3967,3967,10.86978694151752,0.0,0.43055205444920597,1.0,1764,2203,0.8007262823422605,,
2025-10-01,819,819,-12.352717401709402,0.63832,0.5274725274725275,1.0,366,453,0.8079470198675497,,
2025-10-02,889,889,71.88807047244094,0.0,0.4780652418447694,1.0,360,529,0.6805293005671077,,
2025-10-03,2911,2911,-3.438690233596702,0.0,0.39745791824115423,1.0,1570,1341,1.1707680835197614,,
2025-10-04,2127,2127,74.40612236060178,0.05977,0.5289139633286318,1.0,1137,990,1.1484848484848484,,
2025-11-01,283,283,8.017952424028268,0.0,0.24381625441696114,1.0,166,117,1.4188034188034189,,
2025-11-02,848,848,-7.186067001179245,0.0,0.21816037735849056,1.0,362,486,0.7448559670781894,,
2025-11-03,3286,3286,-23.3964482763238,0.0,0.18746195982958003,1.0,2120,1166,1.8181818181818181,,
2025-11-04,1096,1096,115.33437872354014,0.0,0.3357664233576642,1.0,312,784,0.3979591836734694,,
2025-12-01,602,602,9.538607646179402,0.72332,0.7840531561461794,1.0,81,521,0.15547024952015356,,
2025-12-02,1031,1031,19.251828353055284,0.0,0.4626576139670223,1.0,406,625,0.6496,,
2025-12-03,3968,3968,72.60735489289314,1.6060059999999998,0.5645161290322581,1.0,1647,2321,0.7096079276174063,,
2025-12-04,2109,2109,194.60393292223802,0.0,0.2721669037458511,1.0,800,1309,0.6111535523300229,,
